"Input";"Wdth";"hight";"Timestamp";"Number";"Date";"Key"
Kamera 1; videowdth 1280; videohight 960; 1508923359.05; Nummer 0; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.14; Nummer 1; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.23; Nummer 2; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.33; Nummer 3; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.41; Nummer 4; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.49; Nummer 5; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.56; Nummer 6; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.65; Nummer 7; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.73; Nummer 8; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.81; Nummer 9; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.9; Nummer 10; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923359.98; Nummer 11; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.06; Nummer 12; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.15; Nummer 13; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.22; Nummer 14; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.31; Nummer 15; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.39; Nummer 16; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.48; Nummer 17; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.56; Nummer 18; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.64; Nummer 19; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.73; Nummer 20; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.8; Nummer 21; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.89; Nummer 22; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923360.97; Nummer 23; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923361.05; Nummer 24; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923361.13; Nummer 25; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923361.21; Nummer 26; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923361.3; Nummer 27; ;objekt
